,NO.,DATE,TIME,TEMPERATURE,RELATIVE-HUMIDITY,DEW-POINT,GPP,DATETIME
44,45,03-12-2022,22:03:17,26.5,11.1,-6.2,16.5,2022-03-12 22:03:17
45,46,03-12-2022,22:04:17,26.5,11.1,-6.2,16.5,2022-03-12 22:04:17
46,47,03-12-2022,22:05:17,26.5,11.0,-6.3,16.4,2022-03-12 22:05:17
47,48,03-12-2022,22:06:17,26.5,11.0,-6.3,16.4,2022-03-12 22:06:17
48,49,03-12-2022,22:07:17,26.5,10.9,-6.4,16.2,2022-03-12 22:07:17
49,50,03-12-2022,22:08:17,26.5,10.8,-6.5,16.1,2022-03-12 22:08:17
50,51,03-12-2022,22:09:17,26.5,10.7,-6.6,15.9,2022-03-12 22:09:17
51,52,03-12-2022,22:10:17,26.5,10.6,-6.8,15.8,2022-03-12 22:10:17
52,53,03-12-2022,22:11:17,26.5,10.6,-6.8,15.8,2022-03-12 22:11:17
53,54,03-12-2022,22:12:17,26.5,10.6,-6.8,15.8,2022-03-12 22:12:17
54,55,03-12-2022,22:13:17,26.5,10.6,-6.8,15.8,2022-03-12 22:13:17
55,56,03-12-2022,22:14:17,26.5,10.6,-6.8,15.8,2022-03-12 22:14:17
56,57,03-12-2022,22:15:17,26.5,10.6,-6.8,15.8,2022-03-12 22:15:17
57,58,03-12-2022,22:16:17,26.5,10.7,-6.6,15.9,2022-03-12 22:16:17
58,59,03-12-2022,22:17:17,26.5,10.6,-6.8,15.8,2022-03-12 22:17:17
59,60,03-12-2022,22:18:17,26.5,10.5,-6.9,15.6,2022-03-12 22:18:17
60,61,03-12-2022,22:19:17,26.5,10.6,-6.8,15.8,2022-03-12 22:19:17
61,62,03-12-2022,22:20:17,26.5,10.6,-6.8,15.8,2022-03-12 22:20:17
62,63,03-12-2022,22:21:17,26.5,10.5,-6.9,15.6,2022-03-12 22:21:17
63,64,03-12-2022,22:22:17,26.5,10.6,-6.8,15.8,2022-03-12 22:22:17
64,65,03-12-2022,22:23:17,26.5,10.5,-6.9,15.6,2022-03-12 22:23:17
65,66,03-12-2022,22:24:17,26.5,10.5,-6.9,15.6,2022-03-12 22:24:17
66,67,03-12-2022,22:25:17,26.5,10.5,-6.9,15.6,2022-03-12 22:25:17
67,68,03-12-2022,22:26:17,26.5,10.5,-6.9,15.6,2022-03-12 22:26:17
68,69,03-12-2022,22:27:17,26.6,10.5,-6.8,15.7,2022-03-12 22:27:17
69,70,03-12-2022,22:28:17,26.6,10.5,-6.8,15.7,2022-03-12 22:28:17
70,71,03-12-2022,22:29:17,26.6,10.4,-6.9,15.6,2022-03-12 22:29:17
71,72,03-12-2022,22:30:17,26.6,10.5,-6.8,15.7,2022-03-12 22:30:17
72,73,03-12-2022,22:31:17,26.7,10.6,-6.6,16.0,2022-03-12 22:31:17
73,74,03-12-2022,22:32:17,26.7,10.6,-6.6,16.0,2022-03-12 22:32:17
74,75,03-12-2022,22:33:17,26.8,10.6,-6.5,16.1,2022-03-12 22:33:17
75,76,03-12-2022,22:34:17,26.8,10.7,-6.4,16.2,2022-03-12 22:34:17
76,77,03-12-2022,22:35:17,26.8,10.7,-6.4,16.2,2022-03-12 22:35:17
77,78,03-12-2022,22:36:17,26.9,10.7,-6.3,16.3,2022-03-12 22:36:17
78,79,03-12-2022,22:37:17,26.9,10.6,-6.4,16.2,2022-03-12 22:37:17
79,80,03-12-2022,22:38:17,27.0,10.6,-6.4,16.2,2022-03-12 22:38:17
80,81,03-12-2022,22:39:17,27.0,10.6,-6.4,16.2,2022-03-12 22:39:17
81,82,03-12-2022,22:40:17,27.0,10.5,-6.5,16.1,2022-03-12 22:40:17
82,83,03-12-2022,22:41:17,27.0,10.5,-6.5,16.1,2022-03-12 22:41:17
83,84,03-12-2022,22:42:17,27.0,10.5,-6.5,16.1,2022-03-12 22:42:17
84,85,03-12-2022,22:43:17,27.1,10.4,-6.5,16.0,2022-03-12 22:43:17
85,86,03-12-2022,22:44:17,27.0,10.4,-6.6,15.9,2022-03-12 22:44:17
86,87,03-12-2022,22:45:17,27.0,10.4,-6.6,15.9,2022-03-12 22:45:17
87,88,03-12-2022,22:46:17,27.0,10.4,-6.6,15.9,2022-03-12 22:46:17
88,89,03-12-2022,22:47:17,27.0,10.5,-6.5,16.1,2022-03-12 22:47:17
89,90,03-12-2022,22:48:17,27.0,10.6,-6.4,16.2,2022-03-12 22:48:17
90,91,03-12-2022,22:49:17,27.0,10.5,-6.5,16.1,2022-03-12 22:49:17
91,92,03-12-2022,22:50:17,27.0,10.6,-6.4,16.2,2022-03-12 22:50:17
92,93,03-12-2022,22:51:17,27.0,10.6,-6.4,16.2,2022-03-12 22:51:17
93,94,03-12-2022,22:52:17,27.0,10.6,-6.4,16.2,2022-03-12 22:52:17
94,95,03-12-2022,22:53:17,26.9,10.6,-6.4,16.2,2022-03-12 22:53:17
95,96,03-12-2022,22:54:17,26.9,10.5,-6.6,16.0,2022-03-12 22:54:17
96,97,03-12-2022,22:55:17,26.9,10.6,-6.4,16.2,2022-03-12 22:55:17
97,98,03-12-2022,22:56:17,26.9,10.6,-6.4,16.2,2022-03-12 22:56:17
98,99,03-12-2022,22:57:17,26.9,10.6,-6.4,16.2,2022-03-12 22:57:17
99,100,03-12-2022,22:58:17,26.8,10.5,-6.6,15.9,2022-03-12 22:58:17
100,101,03-12-2022,22:59:17,26.8,10.6,-6.5,16.1,2022-03-12 22:59:17
101,102,03-12-2022,23:00:17,26.8,10.6,-6.5,16.1,2022-03-12 23:00:17
102,103,03-12-2022,23:01:17,26.8,10.6,-6.5,16.1,2022-03-12 23:01:17
103,104,03-12-2022,23:02:17,26.8,10.6,-6.5,16.1,2022-03-12 23:02:17
104,105,03-12-2022,23:03:17,26.7,10.6,-6.6,16.0,2022-03-12 23:03:17
105,106,03-12-2022,23:04:17,26.7,10.6,-6.6,16.0,2022-03-12 23:04:17
106,107,03-12-2022,23:05:17,26.7,10.6,-6.6,16.0,2022-03-12 23:05:17
107,108,03-12-2022,23:06:17,26.7,10.7,-6.5,16.1,2022-03-12 23:06:17
108,109,03-12-2022,23:07:17,26.7,10.7,-6.5,16.1,2022-03-12 23:07:17
109,110,03-12-2022,23:08:17,26.7,10.7,-6.5,16.1,2022-03-12 23:08:17
110,111,03-12-2022,23:09:17,26.7,10.7,-6.5,16.1,2022-03-12 23:09:17
111,112,03-12-2022,23:10:17,26.7,10.8,-6.4,16.3,2022-03-12 23:10:17
112,113,03-12-2022,23:11:17,26.7,10.8,-6.4,16.3,2022-03-12 23:11:17
113,114,03-12-2022,23:12:17,26.6,10.8,-6.4,16.2,2022-03-12 23:12:17
114,115,03-12-2022,23:13:17,26.6,10.8,-6.4,16.2,2022-03-12 23:13:17
115,116,03-12-2022,23:14:17,26.6,10.8,-6.4,16.2,2022-03-12 23:14:17
116,117,03-12-2022,23:15:17,26.6,10.8,-6.4,16.2,2022-03-12 23:15:17
117,118,03-12-2022,23:16:17,26.5,10.8,-6.5,16.1,2022-03-12 23:16:17
118,119,03-12-2022,23:17:17,26.6,10.8,-6.4,16.2,2022-03-12 23:17:17
119,120,03-12-2022,23:18:17,26.6,10.8,-6.4,16.2,2022-03-12 23:18:17
120,121,03-12-2022,23:19:17,26.5,10.9,-6.4,16.2,2022-03-12 23:19:17
121,122,03-12-2022,23:20:17,26.6,10.8,-6.4,16.2,2022-03-12 23:20:17
122,123,03-12-2022,23:21:17,26.5,10.8,-6.5,16.1,2022-03-12 23:21:17
123,124,03-12-2022,23:22:17,26.5,10.9,-6.4,16.2,2022-03-12 23:22:17
124,125,03-12-2022,23:23:17,26.5,10.8,-6.5,16.1,2022-03-12 23:23:17
125,126,03-12-2022,23:24:17,26.5,10.9,-6.4,16.2,2022-03-12 23:24:17
126,127,03-12-2022,23:25:17,26.5,11.0,-6.3,16.4,2022-03-12 23:25:17
127,128,03-12-2022,23:26:17,26.6,11.0,-6.2,16.5,2022-03-12 23:26:17
128,129,03-12-2022,23:27:17,26.6,11.0,-6.2,16.5,2022-03-12 23:27:17
129,130,03-12-2022,23:28:17,26.6,11.1,-6.1,16.6,2022-03-12 23:28:17
130,131,03-12-2022,23:29:17,26.6,11.1,-6.1,16.6,2022-03-12 23:29:17
131,132,03-12-2022,23:30:17,26.7,11.1,-6.0,16.7,2022-03-12 23:30:17
132,133,03-12-2022,23:31:17,26.7,11.2,-5.9,16.9,2022-03-12 23:31:17
133,134,03-12-2022,23:32:17,26.7,11.2,-5.9,16.9,2022-03-12 23:32:17
134,135,03-12-2022,23:33:17,26.8,11.2,-5.8,17.0,2022-03-12 23:33:17
135,136,03-12-2022,23:34:17,26.8,11.2,-5.8,17.0,2022-03-12 23:34:17
136,137,03-12-2022,23:35:17,26.8,11.2,-5.8,17.0,2022-03-12 23:35:17
137,138,03-12-2022,23:36:17,26.9,11.2,-5.7,17.1,2022-03-12 23:36:17
138,139,03-12-2022,23:37:17,26.9,11.2,-5.7,17.1,2022-03-12 23:37:17
139,140,03-12-2022,23:38:17,27.0,11.2,-5.7,17.2,2022-03-12 23:38:17
140,141,03-12-2022,23:39:17,27.0,11.2,-5.7,17.2,2022-03-12 23:39:17
141,142,03-12-2022,23:40:17,27.0,11.1,-5.8,17.0,2022-03-12 23:40:17
142,143,03-12-2022,23:41:17,27.1,11.1,-5.7,17.1,2022-03-12 23:41:17
143,144,03-12-2022,23:42:17,27.1,11.1,-5.7,17.1,2022-03-12 23:42:17
144,145,03-12-2022,23:43:17,27.1,11.1,-5.7,17.1,2022-03-12 23:43:17
145,146,03-12-2022,23:44:17,27.1,11.1,-5.7,17.1,2022-03-12 23:44:17
146,147,03-12-2022,23:45:17,27.1,11.0,-5.8,17.0,2022-03-12 23:45:17
147,148,03-12-2022,23:46:17,27.1,11.1,-5.7,17.1,2022-03-12 23:46:17
148,149,03-12-2022,23:47:17,27.1,11.0,-5.8,17.0,2022-03-12 23:47:17
149,150,03-12-2022,23:48:17,27.1,11.0,-5.8,17.0,2022-03-12 23:48:17
150,151,03-12-2022,23:49:17,27.1,10.9,-5.9,16.8,2022-03-12 23:49:17
151,152,03-12-2022,23:50:17,27.1,10.9,-5.9,16.8,2022-03-12 23:50:17
152,153,03-12-2022,23:51:17,27.0,10.9,-6.0,16.7,2022-03-12 23:51:17
153,154,03-12-2022,23:52:17,27.0,10.9,-6.0,16.7,2022-03-12 23:52:17
154,155,03-12-2022,23:53:17,27.0,10.9,-6.0,16.7,2022-03-12 23:53:17
155,156,03-12-2022,23:54:17,27.0,10.9,-6.0,16.7,2022-03-12 23:54:17
156,157,03-12-2022,23:55:17,27.0,10.9,-6.0,16.7,2022-03-12 23:55:17
157,158,03-12-2022,23:56:17,27.0,10.9,-6.0,16.7,2022-03-12 23:56:17
158,159,03-12-2022,23:57:17,26.9,10.9,-6.1,16.6,2022-03-12 23:57:17
159,160,03-12-2022,23:58:17,26.9,10.9,-6.1,16.6,2022-03-12 23:58:17
160,161,03-12-2022,23:59:17,26.9,10.8,-6.2,16.5,2022-03-12 23:59:17
161,162,03-13-2022,00:00:17,26.8,10.8,-6.3,16.4,2022-03-13 00:00:17
162,163,03-13-2022,00:01:17,26.8,10.9,-6.2,16.5,2022-03-13 00:01:17
163,164,03-13-2022,00:02:17,26.8,10.8,-6.3,16.4,2022-03-13 00:02:17
164,165,03-13-2022,00:03:17,26.8,10.8,-6.3,16.4,2022-03-13 00:03:17
165,166,03-13-2022,00:04:17,26.8,10.8,-6.3,16.4,2022-03-13 00:04:17
166,167,03-13-2022,00:05:17,26.7,10.8,-6.4,16.3,2022-03-13 00:05:17
167,168,03-13-2022,00:06:17,26.7,10.9,-6.2,16.4,2022-03-13 00:06:17
168,169,03-13-2022,00:07:17,26.7,10.9,-6.2,16.4,2022-03-13 00:07:17
169,170,03-13-2022,00:08:17,26.7,11.0,-6.1,16.6,2022-03-13 00:08:17
170,171,03-13-2022,00:09:17,26.7,11.0,-6.1,16.6,2022-03-13 00:09:17
171,172,03-13-2022,00:10:17,26.7,11.0,-6.1,16.6,2022-03-13 00:10:17
172,173,03-13-2022,00:11:17,26.7,11.0,-6.1,16.6,2022-03-13 00:11:17
173,174,03-13-2022,00:12:17,26.6,11.0,-6.2,16.5,2022-03-13 00:12:17
174,175,03-13-2022,00:13:17,26.6,11.0,-6.2,16.5,2022-03-13 00:13:17
175,176,03-13-2022,00:14:17,26.6,11.0,-6.2,16.5,2022-03-13 00:14:17
176,177,03-13-2022,00:15:17,26.6,10.9,-6.3,16.3,2022-03-13 00:15:17
177,178,03-13-2022,00:16:17,26.6,10.9,-6.3,16.3,2022-03-13 00:16:17
178,179,03-13-2022,00:17:17,26.6,10.9,-6.3,16.3,2022-03-13 00:17:17
179,180,03-13-2022,00:18:17,26.6,10.9,-6.3,16.3,2022-03-13 00:18:17
180,181,03-13-2022,00:19:17,26.6,10.9,-6.3,16.3,2022-03-13 00:19:17
181,182,03-13-2022,00:20:17,26.5,11.0,-6.3,16.4,2022-03-13 00:20:17
182,183,03-13-2022,00:21:17,26.5,11.0,-6.3,16.4,2022-03-13 00:21:17
183,184,03-13-2022,00:22:17,26.5,11.0,-6.3,16.4,2022-03-13 00:22:17
184,185,03-13-2022,00:23:17,26.5,11.0,-6.3,16.4,2022-03-13 00:23:17
185,186,03-13-2022,00:24:17,26.5,11.1,-6.2,16.5,2022-03-13 00:24:17
186,187,03-13-2022,00:25:17,26.5,11.0,-6.3,16.4,2022-03-13 00:25:17
187,188,03-13-2022,00:26:17,26.5,11.1,-6.2,16.5,2022-03-13 00:26:17
188,189,03-13-2022,00:27:17,26.6,11.1,-6.1,16.6,2022-03-13 00:27:17
189,190,03-13-2022,00:28:17,26.6,11.1,-6.1,16.6,2022-03-13 00:28:17
190,191,03-13-2022,00:29:17,26.6,11.2,-6.0,16.8,2022-03-13 00:29:17
191,192,03-13-2022,00:30:17,26.6,11.1,-6.1,16.6,2022-03-13 00:30:17
192,193,03-13-2022,00:31:17,26.7,11.1,-6.0,16.7,2022-03-13 00:31:17
193,194,03-13-2022,00:32:17,26.7,11.1,-6.0,16.7,2022-03-13 00:32:17
194,195,03-13-2022,00:33:17,26.7,11.2,-5.9,16.9,2022-03-13 00:33:17
195,196,03-13-2022,00:34:17,26.7,11.2,-5.9,16.9,2022-03-13 00:34:17
196,197,03-13-2022,00:35:17,26.7,11.1,-6.0,16.7,2022-03-13 00:35:17
197,198,03-13-2022,00:36:17,26.8,11.2,-5.8,17.0,2022-03-13 00:36:17
198,199,03-13-2022,00:37:17,26.8,11.1,-5.9,16.8,2022-03-13 00:37:17
199,200,03-13-2022,00:38:17,26.9,11.2,-5.7,17.1,2022-03-13 00:38:17
200,201,03-13-2022,00:39:17,26.9,11.2,-5.7,17.1,2022-03-13 00:39:17
201,202,03-13-2022,00:40:17,26.9,11.2,-5.7,17.1,2022-03-13 00:40:17
202,203,03-13-2022,00:41:17,26.9,11.2,-5.7,17.1,2022-03-13 00:41:17
203,204,03-13-2022,00:42:17,27.0,11.2,-5.7,17.2,2022-03-13 00:42:17
204,205,03-13-2022,00:43:17,27.0,11.2,-5.7,17.2,2022-03-13 00:43:17
205,206,03-13-2022,00:44:17,27.0,11.2,-5.7,17.2,2022-03-13 00:44:17
206,207,03-13-2022,00:45:17,27.1,11.2,-5.6,17.3,2022-03-13 00:45:17
207,208,03-13-2022,00:46:17,27.2,11.2,-5.5,17.4,2022-03-13 00:46:17
208,209,03-13-2022,00:47:17,27.1,11.2,-5.6,17.3,2022-03-13 00:47:17
209,210,03-13-2022,00:48:17,27.2,11.2,-5.5,17.4,2022-03-13 00:48:17
210,211,03-13-2022,00:49:17,27.2,11.3,-5.4,17.5,2022-03-13 00:49:17
211,212,03-13-2022,00:50:17,27.2,11.2,-5.5,17.4,2022-03-13 00:50:17
212,213,03-13-2022,00:51:17,27.2,11.2,-5.5,17.4,2022-03-13 00:51:17
213,214,03-13-2022,00:52:17,27.1,11.1,-5.7,17.1,2022-03-13 00:52:17
214,215,03-13-2022,00:53:17,27.1,11.2,-5.6,17.3,2022-03-13 00:53:17
215,216,03-13-2022,00:54:17,27.1,11.2,-5.6,17.3,2022-03-13 00:54:17
216,217,03-13-2022,00:55:17,27.1,11.1,-5.7,17.1,2022-03-13 00:55:17
217,218,03-13-2022,00:56:17,27.1,11.2,-5.6,17.3,2022-03-13 00:56:17
218,219,03-13-2022,00:57:17,27.1,11.2,-5.6,17.3,2022-03-13 00:57:17
219,220,03-13-2022,00:58:17,27.1,11.2,-5.6,17.3,2022-03-13 00:58:17
220,221,03-13-2022,00:59:17,27.0,11.2,-5.7,17.2,2022-03-13 00:59:17
221,222,03-13-2022,01:00:17,27.0,11.2,-5.7,17.2,2022-03-13 01:00:17
222,223,03-13-2022,01:01:17,27.0,11.2,-5.7,17.2,2022-03-13 01:01:17
223,224,03-13-2022,01:02:17,27.0,11.3,-5.5,17.3,2022-03-13 01:02:17
224,225,03-13-2022,01:03:17,27.0,11.3,-5.5,17.3,2022-03-13 01:03:17
225,226,03-13-2022,01:04:17,26.9,11.3,-5.6,17.2,2022-03-13 01:04:17
226,227,03-13-2022,01:05:17,26.9,11.3,-5.6,17.2,2022-03-13 01:05:17
227,228,03-13-2022,01:06:17,26.9,11.4,-5.5,17.4,2022-03-13 01:06:17
228,229,03-13-2022,01:07:17,26.8,11.4,-5.6,17.3,2022-03-13 01:07:17
229,230,03-13-2022,01:08:17,26.8,11.4,-5.6,17.3,2022-03-13 01:08:17
230,231,03-13-2022,01:09:17,26.8,11.5,-5.5,17.4,2022-03-13 01:09:17
231,232,03-13-2022,01:10:17,26.8,11.4,-5.6,17.3,2022-03-13 01:10:17
232,233,03-13-2022,01:11:17,26.8,11.5,-5.5,17.4,2022-03-13 01:11:17
233,234,03-13-2022,01:12:17,26.7,11.5,-5.5,17.3,2022-03-13 01:12:17
234,235,03-13-2022,01:13:17,26.7,11.5,-5.5,17.3,2022-03-13 01:13:17
235,236,03-13-2022,01:14:17,26.7,11.6,-5.4,17.5,2022-03-13 01:14:17
236,237,03-13-2022,01:15:17,26.7,11.6,-5.4,17.5,2022-03-13 01:15:17
237,238,03-13-2022,01:16:17,26.7,11.6,-5.4,17.5,2022-03-13 01:16:17
238,239,03-13-2022,01:17:17,26.7,11.6,-5.4,17.5,2022-03-13 01:17:17
239,240,03-13-2022,01:18:17,26.6,11.5,-5.6,17.2,2022-03-13 01:18:17
240,241,03-13-2022,01:19:17,26.7,11.6,-5.4,17.5,2022-03-13 01:19:17
241,242,03-13-2022,01:20:17,26.6,11.6,-5.5,17.4,2022-03-13 01:20:17
242,243,03-13-2022,01:21:17,26.7,11.6,-5.4,17.5,2022-03-13 01:21:17
243,244,03-13-2022,01:22:17,26.6,11.6,-5.5,17.4,2022-03-13 01:22:17
244,245,03-13-2022,01:23:17,26.6,11.6,-5.5,17.4,2022-03-13 01:23:17
245,246,03-13-2022,01:24:17,26.6,11.5,-5.6,17.2,2022-03-13 01:24:17
246,247,03-13-2022,01:25:17,26.6,11.5,-5.6,17.2,2022-03-13 01:25:17
247,248,03-13-2022,01:26:17,26.6,11.5,-5.6,17.2,2022-03-13 01:26:17
248,249,03-13-2022,01:27:17,26.5,11.6,-5.6,17.3,2022-03-13 01:27:17
249,250,03-13-2022,01:28:17,26.5,11.6,-5.6,17.3,2022-03-13 01:28:17
250,251,03-13-2022,01:29:17,26.5,11.6,-5.6,17.3,2022-03-13 01:29:17
251,252,03-13-2022,01:30:17,26.5,11.6,-5.6,17.3,2022-03-13 01:30:17
252,253,03-13-2022,01:31:17,26.5,11.7,-5.5,17.4,2022-03-13 01:31:17
253,254,03-13-2022,01:32:17,26.5,11.6,-5.6,17.3,2022-03-13 01:32:17
254,255,03-13-2022,01:33:17,26.6,11.7,-5.4,17.5,2022-03-13 01:33:17
255,256,03-13-2022,01:34:17,26.6,11.7,-5.4,17.5,2022-03-13 01:34:17
256,257,03-13-2022,01:35:17,26.6,11.7,-5.4,17.5,2022-03-13 01:35:17
257,258,03-13-2022,01:36:17,26.6,11.7,-5.4,17.5,2022-03-13 01:36:17
258,259,03-13-2022,01:37:17,26.7,11.8,-5.2,17.8,2022-03-13 01:37:17
259,260,03-13-2022,01:38:17,26.7,11.7,-5.3,17.6,2022-03-13 01:38:17
260,261,03-13-2022,01:39:17,26.7,11.6,-5.4,17.5,2022-03-13 01:39:17
261,262,03-13-2022,01:40:17,26.8,11.7,-5.2,17.7,2022-03-13 01:40:17
262,263,03-13-2022,01:41:17,26.8,11.6,-5.3,17.6,2022-03-13 01:41:17
263,264,03-13-2022,01:42:17,26.8,11.6,-5.3,17.6,2022-03-13 01:42:17
264,265,03-13-2022,01:43:17,26.9,11.6,-5.3,17.7,2022-03-13 01:43:17
265,266,03-13-2022,01:44:17,26.9,11.5,-5.4,17.5,2022-03-13 01:44:17
266,267,03-13-2022,01:45:17,27.0,11.5,-5.3,17.6,2022-03-13 01:45:17
267,268,03-13-2022,01:46:17,27.0,11.3,-5.5,17.3,2022-03-13 01:46:17
268,269,03-13-2022,01:47:17,27.0,11.3,-5.5,17.3,2022-03-13 01:47:17
269,270,03-13-2022,01:48:17,27.0,11.3,-5.5,17.3,2022-03-13 01:48:17
270,271,03-13-2022,01:49:17,27.1,11.3,-5.5,17.4,2022-03-13 01:49:17
271,272,03-13-2022,01:50:17,27.1,11.3,-5.5,17.4,2022-03-13 01:50:17
272,273,03-13-2022,01:51:17,27.0,11.2,-5.7,17.2,2022-03-13 01:51:17
273,274,03-13-2022,01:52:17,27.1,11.2,-5.6,17.3,2022-03-13 01:52:17
274,275,03-13-2022,01:53:17,27.0,11.2,-5.7,17.2,2022-03-13 01:53:17
275,276,03-13-2022,01:54:17,27.1,11.2,-5.6,17.3,2022-03-13 01:54:17
276,277,03-13-2022,01:55:17,27.0,11.2,-5.7,17.2,2022-03-13 01:55:17
277,278,03-13-2022,01:56:17,27.0,11.2,-5.7,17.2,2022-03-13 01:56:17
278,279,03-13-2022,01:57:17,27.0,11.1,-5.8,17.0,2022-03-13 01:57:17
279,280,03-13-2022,01:58:17,27.0,11.2,-5.7,17.2,2022-03-13 01:58:17
280,281,03-13-2022,01:59:17,27.0,11.2,-5.7,17.2,2022-03-13 01:59:17
281,282,03-13-2022,02:00:17,27.0,11.3,-5.5,17.3,2022-03-13 02:00:17
282,283,03-13-2022,02:01:17,26.9,11.4,-5.5,17.4,2022-03-13 02:01:17
283,284,03-13-2022,02:02:17,26.9,11.5,-5.4,17.5,2022-03-13 02:02:17
284,285,03-13-2022,02:03:17,26.9,11.4,-5.5,17.4,2022-03-13 02:03:17
285,286,03-13-2022,02:04:17,26.8,11.6,-5.3,17.6,2022-03-13 02:04:17
286,287,03-13-2022,02:05:17,26.8,11.5,-5.5,17.4,2022-03-13 02:05:17
287,288,03-13-2022,02:06:17,26.8,11.7,-5.2,17.7,2022-03-13 02:06:17
288,289,03-13-2022,02:07:17,26.8,11.7,-5.2,17.7,2022-03-13 02:07:17
289,290,03-13-2022,02:08:17,26.7,11.7,-5.3,17.6,2022-03-13 02:08:17
290,291,03-13-2022,02:09:17,26.7,11.8,-5.2,17.8,2022-03-13 02:09:17
291,292,03-13-2022,02:10:17,26.7,11.9,-5.1,17.9,2022-03-13 02:10:17
292,293,03-13-2022,02:11:17,26.7,11.9,-5.1,17.9,2022-03-13 02:11:17
293,294,03-13-2022,02:12:17,26.7,11.9,-5.1,17.9,2022-03-13 02:12:17
294,295,03-13-2022,02:13:17,26.7,12.0,-5.0,18.1,2022-03-13 02:13:17
